week_start,comments,posts,total
2020-05-11,31.0,1.0,32.0
2020-05-18,2.0,0.0,2.0
2020-05-25,181.0,1.0,182.0
2020-06-01,483.0,1.0,484.0
2020-06-08,7.0,0.0,7.0
2020-06-15,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0
2020-07-06,126.0,1.0,127.0
2020-07-13,226.0,1.0,227.0
2020-07-20,10.0,0.0,10.0
2020-07-27,8.0,0.0,8.0
2020-08-03,1.0,0.0,1.0
2020-08-10,239.0,1.0,240.0
2020-08-17,117.0,1.0,118.0
2020-08-24,204.0,1.0,205.0
2020-08-31,40.0,0.0,40.0
2020-09-07,248.0,2.0,250.0
2020-09-14,31.0,0.0,31.0
2020-09-21,145.0,1.0,146.0
2020-09-28,123.0,0.0,123.0
2020-10-05,5.0,0.0,5.0
2020-10-12,5.0,0.0,5.0
2020-10-19,18.0,0.0,18.0
2020-10-26,9.0,0.0,9.0
2020-11-02,16.0,0.0,16.0
2020-11-09,4.0,0.0,4.0
2020-11-16,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0
2020-11-30,7.0,0.0,7.0
2020-12-07,0.0,0.0,0.0
2020-12-14,54.0,1.0,55.0
2020-12-21,1.0,0.0,1.0
2020-12-28,1.0,0.0,1.0
2021-01-04,6.0,0.0,6.0
2021-01-11,2.0,0.0,2.0
2021-01-18,148.0,1.0,149.0
2021-01-25,7.0,0.0,7.0
2021-02-01,2.0,0.0,2.0
2021-02-08,49.0,1.0,50.0
2021-02-15,5.0,0.0,5.0
2021-02-22,106.0,1.0,107.0
2021-03-01,116.0,1.0,117.0
2021-03-08,47.0,0.0,47.0
2021-03-15,6.0,0.0,6.0
2021-03-22,1.0,0.0,1.0
2021-03-29,55.0,1.0,56.0
2021-04-05,0.0,0.0,0.0
2021-04-12,172.0,1.0,173.0
2021-04-19,186.0,1.0,187.0
2021-04-26,5.0,0.0,5.0
2021-05-03,363.0,2.0,365.0
2021-05-10,187.0,2.0,189.0
2021-05-17,6603.0,26.0,6629.0
2021-05-24,3875.0,19.0,3894.0
2021-05-31,2957.0,12.0,2969.0
2021-06-07,2034.0,10.0,2044.0
2021-06-14,3013.0,11.0,3024.0
2021-06-21,1869.0,8.0,1877.0
2021-06-28,939.0,3.0,942.0
2021-07-05,1133.0,6.0,1139.0
2021-07-12,1183.0,3.0,1186.0
2021-07-19,795.0,2.0,797.0
